CUSTOM_ID;NAME;ALIAS;DESCRIPTION;LOCATION_ADDRESS;MUNICIPALITY;LATITUDE;LONGITUDE;SUBESTACION
1,26E+14;AGB;AGUABLANCA 115 KV;S/E AGUABLANCA 115 KV;SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,409778;-76,485242;AGUABLANCA 
1,26E+14;FLO;FLORIDA 34.5 KV;S/E FLORIDA 34.5 KV;FLORIDA;FLORIDA, VAC;3,347845;-76,264779;FLORIDA 
1,26E+14;ARGY;ARGOS YUMBO 34.5 KV;S/E ARGOS YUMBO 34.5 KV;VALLE-YUMBO-GCTO SECTOR INDUSTRIAL;YUMBO, VAC;3,512133;-76,506366;ARGOS YUMBO 
1,26E+14;CSF;CELSIA SOLAR FAREVA 34.5 KV;S/E CELSIA SOLAR FAREVA 34.5 KV;Parque Industrial Caucadesa, Km 43 Vía Panamericana;VILLA RICA, CAU;3,12525;-76,461023;CELSIA SOLAR FAREVA 
1,26E+14;PAN;PANCE 220 KV;S/E PANCE 220 KV;VALLE-SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,351923;-76,546989;PANCE 
1,26E+14;ROL;ROLDANILLO 34.5 KV;S/E ROLDANILLO 34.5 KV;ROLDANILLO;ROLDANILLO, VAC;4,415718;-76,150545;ROLDANILLO 
1,26E+14;SNA;SAN ANTONIO 115 KV;S/E SAN ANTONIO 115 KV;VALLE-SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,44725;-76,542747;SAN ANTONIO 
1,26E+14;XADT;ACUEDUCTO 34.5 KV;S/E ACUEDUCTO 34.5 KV;VALLE SANTIGO DE CALI-CABECERA MPAL;SANTIAGO DE CALI, VAC;3,447694;-76,493187;ACUEDUCTO 
1,26E+14;LPM;LAS PALMAS 34.5 KV;S/E LAS PALMAS 34.5 KV;PALMIRA CGTO AMAIME;PALMIRA, VAC;3,591752;-76,304606;LAS PALMAS 
1,26E+14;RFR1;RIOFRIO 1 34.5 KV;S/E RIOFRIO 1 34.5 KV;RIOFRIO;RIOFRIO, VAC;4,167186;-76,310559;RIOFRIO 1 
1,26E+14;PRS;EL PARAISO 34.5 KV;S/E EL PARAISO 34.5 KV;EL CERRITO;EL CERRITO, VAC;3,679613;-76,303217;EL PARAISO 
1,26E+14;CIAT;CIAT 34.5 KV;S/E CIAT 34.5 KV;KM 17-RECTA CALI-PALMIRA;PALMIRA, VAC;3,498668;-76,35305;CIAT 
1,26E+14;HPO;HACIENDAS DE POTRERITO 34.5 KV;S/E HACIENDAS DE POTRERITO 34.5 KV;HACIENDAS DE POTRERITO;JAMUNDI, VAC;3,215473;-76,593191;HACIENDAS DE POTRERITO 
1,26E+14;AF2;ALFEREZ II 115 KV;S/E ALFEREZ II 115 KV;MPIO DE SANTIAGO DE CALI-CGTO EL HORMIGUERO;SANTIAGO DE CALI, VAC;3,369762;-76,497207;ALFEREZ II 
1,26E+14;XLRS;LA ROSA 115 KV;S/E LA ROSA 115 KV;RISARALDA-R;PEREIRA, RIS;4,744729;-75,709135;LA ROSA 
1,26E+14;VIRG;LA VIRGINIA 220 KV;S/E LA VIRGINIA 220 KV;CALDAS-LA VIRGINIA;PEREIRA, RIS;4,816353;-75,883187;LA VIRGINIA 
1,26E+14;XDSQ;DOSQUEBRADAS 115 KV;S/E DOSQUEBRADAS 115 KV;RISARALDA-PEREIRA;DOSQUEBRADAS, RIS;4,820278;-75,711646;DOSQUEBRADAS 
